SentPair1,SentPair2,SentPair3,SemPair4,Best,Worst
"['و المقروط دارتو', 'بدات مليكة فيه']","['سلام سليمة واش راكي اليوم', 'الحمد لله و انتكريمة']","['وانا على بالي وش راني نهدر', 'حتى احنا مرادمشنا نحكيو في الريح']","['لاباس الحمد لله وش راكي انتيا', 'والله ساڢا تاع منالنيميرو أدا']",1,3
"['راكي سور باللي راح سليمة ؟', 'سي سورفيروس ، سيي  يو س ب فيكس']","['داوه عند الملك و الملك عامل وحد الدار هاكايربي فاها الحيوانات المتوحشة', 'يڤلهم على ڤدما يكون الحيوان متوحش على ڤد ما نزيدكمالسوارد']","['روحي اكتبي شوية خليني', 'ما صليتش العصرنتوضا']","['ايه قلتلها البارح ما قعدوش هي و خالتي زينب', 'راهي رايحة عندها فاتحة ما تفهميش غير روحيأعرضيها']",1,2
"['انت شفتاها النو نهار واحد يعديوا الفصول كل', 'هاي سخانة هاو برد هاي نو تحيري سبحان الله']","['ايه ماما واش كنت تقولي', 'قال أسامة نسنىقبل نشوف']","['نسيت واش كنت راح نقول', 'سارة اعطيني الباطاتاع السكر']","['في الصباح درتلهم محفوظات و في العشية عندناامتحانات سمانة كامل', 'غدوة زوج تاني عندنا فيالصباح مدنية و العشية بدنية']",1,2
"['حكمتو زينو ليوم', 'والله برد يكسر']","['ربي يحفضك خويا شمسو والله تيتاهل كلالخير', 'خويا شمسو انشا الله ربي يحفضكمنفوطيش منصوطيش او متبدلنيش']","['لا مش كيف كيف ڤبيلة لوكا لي عطيتيهولي انت انيعندي زوز اختيارات يا في فرونسا يا هنا مادام عنديلاشونس اني نخدم في بلادي و لاڤية مستقبلي هنامادابيا نڤعد هنا بصح انا ما عنديش مستقبل هنا فيبلادي وعلاه نتلفتلها', 'لا درك كيما نڤولو حنا اي مكتوبالدنيا أدي و كل وحد و قسمو بصح شوفي بلاك بلادناما فيهاش لحوايج ادوما لملاح و المستقبل مجهول اسكومليح ولا لا بصح الحاجة لي كاينة في بلادنا وماتلڤايهاش لهيه وشي هي']","['ديما عقابهم لطفي خويا الكل تحييك', 'يعطيك الصحةخونا لطفي ديما فور']",4,3
"['نهار أوخر كلش يطيح عليك تتلف لك مين تبدايتحفضي', 'والله صح على بالي في أديك الدقيقةنتخلع و نتخربط']","['كان لازم عليه يفهم التام تاعه', 'إيه إيه حناهدي درناها ﻓﻠﻴﻜﺴﭙﻮزي']","['لا مشني داكور', 'هكا ترجع عربية']","['اكثر من رائع ربي معاك خويا شمسو الله يقدرلكلخير', 'مانسوطيش مانسوطيش مانسوطيش حتان يومموتي تحياتي شمسو']",4,2
"['يام كلهم مركة فرنسي كشم ﻟﭭﻴﺘﻲ راحة مركةألجيريان', 'آه كاينين بصح مدرحين كاينين وحايدمخدومين هنا']","['إدا انت قبلتي بتضحية كيما هادي لازم هوتاني يكون راجل معاك و ما يخليكش', 'والله فيتونس تقبل مرا إنو راجلها تكون عندو صاحبتو وما تقبلش إنو يزوج عليها']","['ياه و كيفاش باينين  صباعتيه مقطعين', 'ايه قاسوهبمومبا ولا ما نعرف واش']","['سورة الكهف حتى هي  تجنبك', 'يڤلك أو كون يعرفوش تحب أنت']",2,3
"['قال لي أخت شمام واش راكي قلت له لاباسالحمد الله', 'قال لي واش ديرتيهم ولا لالا قلت له مالبستهمش']","['يعطيك الصحة راني ضحكت بزاف', 'شمسووقتى تولي اماجينو']","['مكانش قريصات و خشيبات', 'هما ما عندهمشخشيبات']","['لو نعيد همومي نعمر ألف كتاب', 'لو نعيد هموميللجبال تعيدلي جواب']",3,4
"['كيفماه حتان جاتو الفكرة يدير فيه لانستيتو أدا', 'باه يعمر وقتو مالا وش يڤعد يدير']","['هاه أني جاية دقيقة برك نكمل أدي برك', 'تبعيفي المسلسل تاع وش اسمه أداكا']","['شكون', 'غوالمي']","['وري يدك حكمتك', 'بلعقل أ حسان']",1,4
"['لا بيان سور ما نحرڨش', 'في الجزيرة يڨولوادكتورة حرڨت']","['أنا كي  نكون عيانة  نحب نرقد', 'ماشي غيرتحبي ترقدي هاديك هي لي تحكمني ساعات']","['صح وقتنا ماشي مليح ﭘﺮاﭘﻮر للمشاكل لي فيه وكلش', 'بصح بكري ما كانتش الدنيا ساهلة كيما وقتناهادا']","['الصلاة  ما جاتش في ما يصليش', 'الأدان  يدن وأنت تلعب في الدومينو']",4,2
"['أيه بديت ﻧﭙﺮﻳﭙﺎري للباك تاعي', 'و بديتي تحفظيولا مازلتي']","['كي ڤلتيلي ڤولي لها في اﻟﭙﻮرتابل شبعتضحك', 'وحد لحكاية تغيض واحد نحا الدار لأموو زوز']","['ﭬﺪاه في عمرها بنتو', 'ربعة ولا خمسة سنين']","['و كي راحو للغابة صافي مش مالفين هما يصيدومربيينهم يجيبولهم اللحم عندهم ما يعرفوش كيفماهيصيدو', 'ولاوا وش يديرو ساعة يهجمو على ززار ساعةيلڤاو كميونة تاع لحم معدية يهجمو علاها باش يوكلو']",1,4
"['ڨداه الساعة', 'درك نشوفلك']","['ايه سلو نعرفو بصح ما علاباليش', 'شكون هادالي كان في النورڢيج']","['احسبي وحدك', 'دوك ﻧقولك']","['كي يجيو تمانية من طناش', 'تسمى  حاجة  تفرح']",2,3
"['دبر عليا ولد عمي نشري له مصحف ولا كتاب يهدرعلى الإسلام', 'الغذوة كيما رحت باه نشوف وشنشري له ﻟﭭﻴﺖ كتاب يهدر على الإسلام بلوﻧڤلي']","['ڤال لي كل عام كاين كلاسيكو جديد', 'وعلاه كلعام يدير اكيب جديدية']","['دارت البقلاوة كوكة سايي', 'لالا مازال اليوم تبدا']","['مشكلة قالت لك المرة الأولى مونوم وحده بينك بينروحك', 'أومبعد بينوم و كي أنا  كي خالد حابين مونوم']",4,3
"['آه', 'شكون']","['راح تحبسو ڤاع', 'أواه غدوا برك']","['واش بيكي واش دار لك', 'ما دارلي والو بالصحيقلق']","['ونا مريم', 'وين يخدم']",3,4
"['آت اﻟﭙﻮرتابل', 'جيب يومة']","['آ صباح الخير وش راكي لاباس', 'لاباس الحمدلله وش راكي انتيا']","['بصح عجبتني ليدي تاع لانترفاس امبعد لاﭘﺎللداخل', 'بيانسور ﭘﺎسكو ليكوموند واعرين باه واحدﺳﺎﻣﭙﻞ يديرهم']","['سنيت بالخميس شفت ليمايل تيعي في الصباح وفالعشية و بالجمعة و بالسبت ما لڤيت والو بعتلو ايمايلڤتلو راني نسنا', 'رجعلي ڤالي لا پاسكو ما عندوشالوقت و يپريپاري في دوكتورا و راح يسوتني و كدا و ماعندوش الوقت']",2,1
"['انا نسيبورتي ريال هه', 'رانا معااكم شمسوانس']","['درك اني بديت في دومان باينة راح نكمل فيه', 'بصح تام تيعي تاع لماستار يحكي على الدومانأدا']","['أهاه ونا بلاصا ايدير هو الماساج لازم سرايدي', 'أولتما المساج أو مش طبيب أداك أو كيني']","['كانت مركبة رجل', 'تسيح بالدم رجلي']",4,1
"['يومين قبل العيد الكبير', 'ايه قبلو قدقد ازوجت']","['هأديك الخطرة جيت معاك', 'شحال في عمرهابنتو']","['على ساعة', 'لقيت زوج']","['نسحق الميكرو نهار الخميس', 'حتى أنا نسحقهبزاف']",4,3
"['جيبنا الخبز', 'ضارب معاه']","['يبينلك حتى هو مشو متفاهم مع ناجي', 'من تمفهمت الحالة ساڢا ﭘﺎ بيناتهم']","['إنت منك ليه', 'إيه تاع أنفورماتيك']","['و الحمص ؟', 'يجيبهولك في قزديرة']",2,1
"['ربي يحفظك خويا لطفي', 'تحياتنا ليك لطفيروعة']","['رانا كامل معاك شمسو راك فور كمال هكدا', 'خويا شمسو جوكر بارك الله فيك هاو حقك خوياسلام']","['قانون حسبت يديروه غير تاع الأدب', 'لالا هو ماداروش في لافاك']","['وعلاه ﭬﺎﻟﺘﻨﺎ ساعتين هدرة', 'باه يجيو الكلمات ياسر']",1,4
"['تاع شكون', 'ماشي تاعكم']","['سليمة , نسيت ما سقسيتكش إدا بديت الخدمةاللي هدرنا عليها الخطرة اللي فاتت في الاجتماعمع كمال وكريمة', 'كريمة   مادا بيك لو كانڤونفليتي شوية الميساج ديالك اللي بعثته لكمال   جملة واحدة برك ؟']","['عملتي مليح درك تعودي تجي تقراي', 'هاني ﭬﺎعدةنجي اليوم وين شفتك']","['أيوب تقرا أومبعد', 'راه عندي ﺗﭙﻲ']",4,2
"['أكتبيه بالعربية سليمة', 'تعلمته في المروك']","['ليامات أدي غدوة', 'خلي السمانة الجاية']","['في الليل ﭬﺘﻠﻮ أيا نشوفو المخازن', 'ڤولي لها هو لاخلي الصباح']","['ما نعرف كيفاش تفكراتو', 'ﭘﻮرتون ماداتش الساكتاعها']",2,1
"['رانا كامل مع شمسو ايه مانسوطيش', 'شمسوخويا بكيتنا صغار كبار ربي معاك وشكرا']","['دوك نولي سارة', 'ياخي غدوة نصومو']","['كلش نجملو بصح أدي خاطيني', 'ماما ما نعرفوقتاه تروح']","['بصح عوايدنا و عوايد بابا ما تخليش الطفلة ﺗﭭﻮلرايها', 'هدرة باباها هي اللي تمشي و الزواز راح يكونبالسيف عليا']",1,3
"['هنا واحد ما يعرف حكايتك', 'نبقاوا متخبيين هنا وفضت']","['رحت للسبيطار باه ندير كونسيلتاسيون جينرالظهر عندي فيبلاس في ليباتمون دوكور تيعي', 'ولافيبلاس أدي جاتني من لونجين اللي حكمتنيبكري دارتلي روماتيزم أغتيكولار إﻳﭭﻮ في ﭬﻠﺒﻲ']","['تلاتة سنين تلاتة سنين و حاجة', 'هاه تلاتة سنين ونص ڤريب ربعة']","['لوسات لوسات ديسمبر', 'ايه مكانش مشكل']",3,1
"['إيه ماكانش الأخرى', 'شحال يحسب فيها']","['أو يعرف لي ﭘﻮان فابل تاع العباد', 'كون يخرجمن بلاصة  تحبسلك لبلاصة أديك']","['واحد يصدق مكانش منها بلاك ابتلا من عند ربيبرك', 'ابتلا درتي ولا ما درتيش جرب صدق و شوف']","['صحا باي', 'ألو وي']",3,1
"['كملو احكيو كيفاه جوزتي ليڢاكونس', 'ماكلة وكونيكسيون و قراية']","['قلت لها مادام تحوسو اونسينيون مليح فياللبسة ولا مليح واش عنده في راسو', 'قالت ليجيبلنا سيڢي تاعك هاني ديتهولهم و راني نسناباش يردولي']","['هنا الحال مسحب', 'و من الصباح']","['ايه', 'وقتاش']",1,4
"['والله بديت نتقلق منه هدا', 'واش بيكي واش دارلك']","['عندك يكلحوك', 'خممت فاها']","['دوك نهار تخلصهم الحكومة كامل يروحو يسنييو', 'تجيها هي و بوبة تمنمية مليون']","['كل يوم من التمنية للربعة تروح ميت للدار', 'هي لقرايةملاحة تعنا بصح الپروڤرام تحا شارجي']",4,2
"['تسمى كي تكون في الكوما طلعت  هي تاني', 'فهمت تطلع واش درت في هداك النهار يتحسب لك']","['أومبعد حصلت ربع مياة ألف كل شهر مقدرتش', 'وعلاش درتي هاكا من لول يا لمباصية']","['ساڢا الحمدلله', 'عندكم ياسر']","['بداو في أكتوبر يقراو في النهار', 'أنا بالاك بربي نشالله نسجل فيه']",1,3
"['واش قلتو في الهجرة', 'واش من هجرة ؟']","['يعطيك الصحه ربي يوفقك يحفضك نحبك بزاف', 'سلام ام وليد مشكورا علي هذه المجهودات']","['ربي يسترك يا خويا لطفي', 'قنبلة خويا لطفيكالعادة']","['و تڨول لي حبيت نفهم معناها', 'حبيت نبدل السوجيهادا ما كان']",1,2
"['إيماجيني ﻟﭙﺮوف صحيبي', 'ڤال لي تريبيان']","['هاه أنا تهانينا', 'أكم لاباس مالا']","['أنا درت مودپاس معقد بزاف', 'يعطيك الصحةعقدتيها مرة وحدة']","['ماشي مشكل', 'تبعي إيمان']",3,4
"['تلاقيت بن سبع ولا مازال', 'واش فكرت أونكادرور  محمد']","['كما قلت لكم الخطرة اللي فاتت , نقدرو نپوبلييوفي مجلات امپورتانت', 'هدي فكرة مليحة   كيراك تكتب لي ميساج تاعك بالدارجة']","['ڤالت لي و يموت على يكوپي', 'ﭬﺎتلها خديجة أه مليكيخرج حاجة']","['كاين ياسر حوايج', 'سورتو لا دروڨ']",1,4
"['سليمة ، يعطيك الصحة وقيلة شاتينا الخير والبراكةوش رايك', 'تاع الصح آني من 10 و نص ڨدامالپيسي']","['ﻟقيت مرت جمال تما', 'العجوزة و الشيخوحدهم']","['على الدم قال لها نزوج بيك باش تكملي قرايتك وهي قبلت', 'امبعد زوج بيها و قالهم هادي مرتينقريها أنا واحد ما دخلو فيها']","['جامي حلاوة لالجيري كي تكون في المناسبات العيد ورمضان', 'ما تشوفيش الحاجة راكي عايشتها و أومبعدتروح من بين يديك']",3,2
"['هاديك بسبعة وعشرين ألف و الأخرى بتلاتين ألف  قيس قرعة ريحة ماشي ديودرون', 'ديودرون الناسيشريوهم بخمسطاش ألف عشرين ألف و انانشريهم بتلاتين ألف']","['راني نتفكر لكتاب لي جبتهولي كي كنت موليلاﻧﭭليز راني قريتو و حبيت نزيد نقرى پلوس علىالإسلام', 'و بقدرة ربي ﻟقيت في الغلاف تاعولادراس تاع لي نشر الكتاب بعتلو برية باشندومندي زيادة بعتولي واش حبيت']","['مديتي ﭙﻮرتابلك ليماك', 'ايه هداك مديتهولها']","['خولة يخي رحت انا وياك اليوم للافاك', 'و شفنالفيشاج تاع السوماستر لول']",1,2
"['أنا حبيت نقراه ومن بعد نعطيك رايي', 'أنا بديتنقراه ما زال ما كملتوش']","['يحب وليدو يرفد عليه', 'عيط لك تاع الكباش']","['لا لا لا بلعقل برك أ وداد أم لحكايات أدوما كليصراوا أكي على بالك', 'حتى نا استغفرت و شهدتوش حا يدير العبد لكان المكتوب جا كيما أك']","['تحية من الجزائر خاوة خاوة', 'ما نكومونسوطيش ههفيديو هايل']",1,4
"['فيه جواهر', 'وعلاه مليح']","['نكره  هاد الهدرة', 'راهي تصب الشتا دوك']","['مالة اهدري ديريكتومون في الحاجة اللي تحبيتهدري عليها', 'وش من حاجة لازم الكل نحبو نحكيوفيها']","['ما على باليش كيفاش يقولوها بالدارجة , درك نشوفكيفاش ندير', 'حطيت بالعاني كلمة كتاب باش مانخليش البلاصة نتاعها فارغة']",3,1
"['كاين لي ﻧﻴﭭﻮ باك نورمال يخدمو خير مني', 'وكاين لي يخدمو باريڤزوﻣﭙل بالماستار أن']","['أم يحتاجوا لانفورماتيك', 'لانفورماتيك ماطلبوش']","['بتلاتين ربعين أو كاين واحد الروايح صغار ڤاع قدهكا', 'نسيت أسم  الماركة تاعهم   معروفة بزاف فيفرنسا']","['حبيت نشري سباط', 'حابة تشري سباط']",4,1
"['ساعات التصاور من الستيليت ما تلحقش مليح', 'في الدارجة مانقولوش احصائيات مراد ولا لاسليمة']","['وعلاه وش معناها', 'العقلية الخاسرة اديا']","['قلتلو أرواح معايا للاكافات نشربو قهوة', 'بصح كيماعلابالك عزو مازال دراري']","['أسنا سح أنا ما نعرفش نكتب', 'نعرف نرﭬﺪ أنا بركأدا وش ندير']",4,2
"['هيا اقرالي وش كتبت ولا هات لهنا', 'لا لا بيدك ولابرجلك حبيت نڤول']","['نانا ليوم تڤتلني', 'على جال السوارد']","['ما تشوفش القرعة   القرعة هاديك تتعمر أم يتباعو', 'لالا على بالي و تتعمر بخمسة و عشرين ألف']","['ياو كل يوم مشني ﭬﺎعد نصلي', 'صح الصلاة هياللي تأثر فيك']",3,1
"['ﭙﺎسكو ما عنديش واحد', 'أنا تانا والله كيفك']","['كانز دينار', 'كاين الدراهم']","['ساهلين ڤاع يبانوا دوك نسييهم سيرتو هداك تاعالحلوى', 'هاهم ماما لي طيبتهم كامل جابت حطتهمهنا']","['بلاصة في البحر', 'شكون ﭬﻠﻚ علاها']",2,4
"['انس خويا نتا فور', 'الله يرحمك يالشاب عقيل']","['رحت هكا طلعت جاتني وحدة راح تعملياونتروتيان', 'على بالك وش ما تعرفش وشي هولوراكل']","['شديد العقاب على اللي يعصيه', 'ما تعنديهاشدايمن دايرة هاكدا']","['لاباس حورية لاباس البنات لاباس الزهرة', 'ينشد عليكالخير والله ساڢا يعيشك']",4,1
"['داخلة فالتسويق سورمو', 'بصح مشني فاهمتها']","['و دوك بديتي ولا مازال', 'أيه بديت ﻧﭙﺮﻳﭙﺎريللباك تاعي']","['بديت نحفض ماﻟﭙﺮوميار لوسون اللي درناها', 'وأڢونسيتوا في اﻟﭙﺮومي تريماستر ولا لا']","['يديوها غدوة غدوة حتي  يخلاص العام', 'هاديك هييقراو غير شهرين ولا تلاتة']",2,4
"['لا ما يمشيش', 'درك نجي نعدله']","['ﭬﺘﻠﻬﺎ بطلي الخدمة', 'وش نديروا درك']","['لالا وحداخر', 'ماشي كيمو']","['ربي يحفظك شمسو انت صح راجل', 'الله يحفظكخويا شمسو هايل بزاف']",4,3
"['فور يعطيك الصحة ان شاء الله للمليونين وليد بلاديرديتنا حقا بمجرد فيديو من مواطن فرحتلك منالقلب', 'كلامك صح خويا شمسو انت لخصت معاناةكل الشعب الجزائري في فيديو واحد راني معاكخويا شمسو الله ينصرنا يا رب امين']","['اسنا ماكاش روشارش لهيك', 'السلام عليكمالصحة بيان']","['قال له بين لي بلي ربي كاين و انا ما نامنشبالقضاء و القدر', 'كيفاش تقولي هدا العبد مقدرة لهيصرا له كيما هكا و  ما علاباليش']","['شمسو ربي يوفقك خويا', 'الدمعة طاحتلي خوياشمسو']",4,1
"['و مبعديكا نحطهم في ليساشي', 'بصح ماماشراتهم صغار شوية']","['راني مغروم مارانيش مهبول', 'راهم جاو، راهمجاو']","['بصح ڤلت للشايب ڤتلو أداها واحد ﺳﭙﻴﺴﻴﺎليستخير', 'في السبيطار تعنا يعڤبوا غير بالمعريفة علىبالك']","['وين هنا أم يديرو لكلاسمون', 'دونك اون سول ميتودغالطة']",1,2
"['كمال , حبيت نفكّرك على لانڢيتاسيون , علىخاطرش راني حاب نبدا في لي ديمارش , راك تعرفكلّش تقيل هنايا', 'سليمة   نسيت ما سقسيتكش إدابديت الخدمة اللي هدرنا عليها الخطرة اللي فاتتفي الاجتماع مع كمال وكريمة']","['روح', 'واش']","['بالعقل ،بالعقل ،ماتلفوهاليش', 'هدا بتسعين ألف']","['إرهابيين خطفوا رجال دين مسيحيين', 'أدوما تانا ماسلكوش منهم']",1,2
"['اﻟﭙﻮرتابل أو عندها', 'آه آي هزاتو']","['اهه ياا ليزووم قااسح بزااف شمسو واللهمانسوطيش', 'انا تاني ما نصوطيش يعطيكالصحة خويا']","['جانفي يكون هنا لالا', 'إيه ما نقعدش لجانفي']","['أنا كونتر ندير إضراب', 'على ليزيلاڢ ندير إضراب']",4,2
"['كي راحوا للمخازن لقاهم يخدمو في لادروڤ تمافاق بحكاية لادروڤ', 'قالت له يماه وعلاه مالا أنامين نعيش في عشرة الاف عبد']","['سلام يام وليد يعطيك الصحه درتو اجاني بزافبنين', 'شكرا حبيبتي ام وليد بارك الله فيك']","['لالا الفرونسي لا تقراي لا هم يحزنون، تنحي منمخك العربية فهمتيني؟ و تهدري نورمال پاسكو  اللغةماشي هكا', 'درك الناس كامل تعرف تحفظ بالصحالمشكل وين راه؟  في اللسان برك ، درك أنا نهدر مليحولا لالا']","['قال لي أطلعي أم النساء الفوق لقيت بزاف النساء', 'أنا كي نروح للطبيب واش راح نقول له']",2,1
"['أي أسما شفتي وش تمرمدت وش تمرمدت وشتمرمدت', 'آه أنجنيور في لانفورماتيك و اامبعدفاندوكونت مسكينة']","['آه امبعد نروحو', 'نبعتولها خويا يداها']","['ياه و كيفماه باينين صوابعو مقصوصين', 'هاهڤاسوه بمومبا ولا ما نعرف وش']","['نشا لله  يكون الولد بخير برك', 'نشا لله راني نزيدنعيط لها و نشوف']",4,3
"['هاه', 'وقتاه']","['لوجاع تاع راسي', 'أومبعد نعيط لها']","['منين راح تجوز أنت منين', 'ما تقوليش رايح للمرشينفليكسي']","['هاي أسما شفتي شحال تمرمدت شحال تمرمدتشحال تمرمدت', 'ايه أنجنيور في لانفورماتيك و أو فاندو كونت مسكينة']",3,4
"['اختي ام وليد حلوي دراتها جاتني روعة', 'يعطيكالصحة ام وليد متالقة دائما']","['كبرت شمسو فيديو يقيس بزاف برافو', 'يعطيكالصحة خدمة فوور بزااف']","['خلي الوقت هو اللي يداوي كلش', 'مالا خلاصفريتها، واش قالك الطبيب']","['و هاي وش اسمها لهنا', 'وشبيك تشوف ليا وشكاين']",1,4
"['أو لازم نونتريني', 'أيا السلام عليكم']","['و تبقى ميا يروحو باها للحج', 'و تبقى عشرينيديرو باها لعشا']","['أني ڤلت لك تبقاي كيما هكا أي شوفي يكرهوك ويكرهوك', 'أو تانا التعليم أ بنتي أو مش ساهل يحبله']","['هدر معايا ما جاوبتوش شافني بلي راني مقلق', 'كانرافد في يدو تشكة تاع لانستيزي مديتلو يدي']",3,1
"['حاتان ديت الباك و عطاوني الورقة تاع باه نخاير وشفتم لحوايج لي نجم نديرهم و حطيتها هي لپرومييشوا تاعي', 'على بالك أصلا لوخرين مكانش عنديعليهم أي فكرة پارايڤزومپل كونتابيليتي ڤلت ايا نعملانفورماتيك و العمال على ربي']","['ترجمهالي وحدو', 'ابداو احكيو']","['كانز دينار', 'كاين السوارد']","['انا حرت', 'أيا فطيمة']",3,2
"['كل واحدة فيهم تخليني ننوم يا شيخ', 'لازم المنامتاعك يكون صحيح يا وليدي']","['ديما فور لطفي دوبل كانون نار', 'فور لطفيكونطرا على شياتين']","['شوية و نروح', 'غدوة راني مسافر']","['فيهم شوية خدمة', 'واش من ديالكت']",2,4
"['إيه', 'واش']","['واش الفايدة كي تجيبني و ما نشريش', 'بالصحقادرين واحد اخرين يشريو نورمال']","['تسكن مع شيخها', 'ما عندهمش دار']","['بصح أنا ما فهمتش كيفماه حنا نسكنو هنا و نشكيوالهيه', 'بكري كي كان كلش نورمال كنا نخلصو التليفونو الكنكسيون في بوزراد']",3,1
"['وين راه يحيا', 'راه مع الأولاد']","['كي كنت أنا و خاوتي مع بابا', 'و هادي الراحةالنفسية خلاتني نبدع فيها']","['هيا زعمة انا لي حا نسقسيك', 'هيا وعلاه حابةتكملي قرايتك هنا']","['مزالت عنك الدودة تاع اﻟﭙﻮرتابل', 'كي كون العبد فارغشغل']",2,3
"['نسيت واش يسنا فيا', 'أقعدي نجوزو ايامات ملاح']","['الله يعطيك الصحة كل وصفاتك روعة', 'يعطيكالف عافية ام وليد']","['رجعلي قالي لالا پاسكو ما عندوش الوقت و يپريپاريفي دوكتورا و راح يسوتني و كدا و ما عندوش الوقت', 'بعت له أنا ميساج قلت له موسيو ما فهمتش وعلاشانسيستيت و انت على بالك بلي عندك خدمة و ماتقدرش']","['نشفا عليها كنت صغيرة كي دخلت نبيلة عروسة كانواولاد تركية يروحوا عندها و أنايا  معاهم', 'نهار كاملوحنا عندها ما نروحوش ڤاع من عندها كانت عندهاسكرية تاع زجاج كبيرة كسرناها لها']",2,1
"['ﻟقى راحتو لهيك', 'يقعد ولا يروح']","['واش من معلومات', 'نتاع السمانة الجاية']","['حنا نتشاركوا في واه', 'نتشاركوا في فكرة أكا']","['لوكان غير يسڤموه برك', 'دايمن كاين بروبلام عندنا']",3,4
"['راني زعفان علايها مانسوطيش', 'لحمي تشوكمانسوطيش']","['أنا حبيت نشري ڢيستا كحلة و عجبتني وحدة', 'أنا إدا صلحتلي تاع دياﻳﭙﻲ نشري وحدة']","['صباح الخير وش راكي لاباس أ لبيبة', 'لاباس الحمدلله و شكون معايا']","['لوخر يشرب في القهوة تاعو', 'و انا نسيي فيانترنات']",3,4
"['جاتني الهدرة تاع ولد عمي في ودني ﭬﻠﺖ نشريهسيرتو انه ﻟﭙﺮي تيعه مش غالي', 'ديت الكتاب عداتالحفلة على الكيف مديت له الكادو و بعدها روحصحيبنا الطبيب']","['درك ما نجمش نڤول لك اني ماستر مزلت ماكملتوش', 'نو لازم لازم يكون عندك تام ما كانحتشي']","['بنمهيدي تاع لعروڨ', 'آه تاع لعروڨ']","['بصح يا فريال ما تمشيش معاها بالنوار ديري بالبلونكاسي حاجة هكا', 'يا بنتي أنعلي الشيطان و شكونلي يمشي معاها بالنوار مهبولة']",3,2
"['حبيت تعرف المعنى نتاعها', 'يعني القرامد الكلطايرين']","['وين راهي سليمة', 'لازم اترجم مراد']","['بداو في أكتوبر يقراو في النهار', 'أنا بلاك بربينشا لله نسجل فيه']","['وعلاه السطر اللي ضرني كيما هك وعلاه', 'آه زعمةعجال من فوڤ بركا']",3,2
"['قال له هكاك الشيطان مخلوق من نار و يتحرق فيالنار', 'شفت كاين ناس يقتنعوا بحاجة ساﻣﭙﻞ هكاو ينورلهم ربي بصيرتهم']","['عطاني كاشيات تاع الصبر', 'مالا عندك الصبربزاف']","['عندي شوية سلق نديرها و خلاص', 'هاه وش فاهاوش خصو السلق']","['خلاصت واحد لاماتيار برك تاع لفريجيدار', 'إيهتسمى مازالو في الستوك أم مخبيين']",2,4
"['ما نعرفهاش خلاه', 'نخساب فيها اﻳﻜﻴﭗ']","['هه حفظتها ولا مازال', 'واحد مايسوطي رانامعاك شمسو']","['يعطيك الصحة ام وليد ربي يسهلك في ما تتمنايكما سهلتينا', 'روعة يعطيك الصحة اليوم نديرها انشاءالله شكرا ام وليد']","['قالت لي و يموت على يكوپي', 'قالت لها خديجة إيهمالة يخرج حاجة']",3,2
"['نقرى درك', 'على قداه']","['قوللي على واش يهدروا', 'على الموديل تاعخريبوط']","['هاي ليك هادي تاع القصبة ما يعرفوها غير القدم', 'واعرة باش تصيبوها بالصح حوسو عليها باشتهدرو']","['روعة و شحال يدير', 'وعلاه ما شريتيش واحد']",1,2
"['الجزاير ما نكرهاش نكره العوج اللي فيها', 'العوجهاداك كامل كرهناه بالصح واش نديرو']","['لا ما صلحتش', 'هاي جات إرور']","['على الاقل تاع شتا يرد عليك البرد', 'صح سجلناﭬريب خمسة و عشرين دقيقة']","['الله يحفظك خويا شمسو', 'شمسو انت لزووم يعطيكالصحة']",1,3
"['خليك من لافاك فيها مشاكل ياسر', 'أوﻣﭙﻠﻮس كيتتخرجي ما ﺗﻠﭭﺎيش الخدمة']","['لالا حتى أنا ما قلتش هكا قالت لك كونكور', 'انتي حابة تروحي تكملي ولا لالا سينون  يديرولكتاست']","['راح السيد يديماري التوموبيل تيعو تم مات', 'مات وهي ڤاعدة تتحرك التوموبيل']","['شكرا ام وليد ربي يفرحك ان شاظ الله', 'درهم اليومجاو روعة الله يعطيك الصحة يا ام وليد']",4,2
"['هو عنده كارتابل تاع  ﻟﻴﭙﻮس', 'نور قال بانت ليصحابه يسالوله تار']","['لالا والله عرضتني نورمال بالصح كي شغلتتمسخر', 'لالا ماشي إستهزاء تاع كي شغلمشنفة عليا فهمتي']","['علابالك بلي الماء تاع البحر ينحي السحر', 'مالاكامل دزاير يلزم ينحولها السحر بماء البحر']","['بلعقل بلعقل', 'يوما يوما']",4,3
"['لاشين يجيبو منها صباط', 'فكرتيني درك نعيطلطه']","['يديروا زوج ولا تلاتة حوايج الكلاسمون لوكانكورو كومپيتونس', 'لا علينا،  نقولو متلا جاتك فرصةباش تروحي لهيك']","['ايه أكتب هات الستيلو هات هات زينب راحت ولامازال', 'مازال أو دوك أنا طالعين لعنابة دوك تجيمعانا']","['و امبعد حصلت ربعة مياة ألف كل شهر مقدرتش', 'وش أداك انتيا أ وحيدة تعملي كيما هكا']",4,1
"['آتي أ سارة والله درك وين جبتها', 'ﺣا نڤول لكحطاها امبعد أقراي']","['قالك العين', 'آما عين']","['قالت : رحت ماتوا عليا بالضحك سورتو مع لاكسونتاعي', 'بصح ربحت في لوغال و راح تبدا تقرا هادليامات']","['كملو احكيوا كيفاه ﻋﭭﺒﺘﻲ ليڢاكونس', 'ماكلة وكونيكسيون و قراية']",1,2
